finOrg_id,name,country_code,region,investment_rounds,invested_companies,milestones,relationships,years_invested
5453,Taishan Invest AG,CHN,Beijing,1,1,2,4,0.0
5454,Penny Black,GBR,London,2,2,0,2,0.5
5455,Countyline,unknown,unknown,1,1,0,0,0.0
5456,Agave Capital,USA,Austin,3,2,0,0,1.12
5457,Convergent Investors,USA,Austin,3,2,0,0,1.12
5458,Baring Private Equity Asia,HKG,Hong Kong,2,2,1,1,0.78
546,GrandBanks Capital,USA,Boston,39,22,0,18,11.07
5460,Boston Capital Ventures,USA,Boston,4,4,0,3,5.47
5461,Optical Capital Group,unknown,unknown,1,1,0,0,0.0
5464,Empreende Jovem,unknown,unknown,1,1,0,0,0.0
5465,Silverstar Holdings,unknown,unknown,1,1,0,0,0.0
5466,Selway Partners,USA,New York,1,1,0,0,0.0
5467,Power of the Dream Ventures,unknown,unknown,1,1,0,0,0.0
5468,Canberra Business Development Fund,AUS,SF Bay,1,1,0,0,0.0
5469,Core Growth Capital,GBR,London,1,1,0,0,0.0
547,XDL Capital Group,CAN,Toronto,1,1,0,3,0.0
5470,RNR Ventures,USA,Huntsville,1,1,0,0,0.0
5474,Arcus Ventures,USA,New York,7,4,0,0,2.84
5475,Camros Capital,unknown,unknown,3,1,0,0,2.84
5476,KLM Capital Group,USA,SF Bay,2,2,0,1,1.17
5477,FM Management,ITA,Verona,4,3,0,0,6.31
5478,Cornerstone Capital,USA,Minneapolis,2,2,0,2,5.14
5479,IXcore,FRA,Marly Le Roi,5,4,0,0,1.8
548,Siemens Venture Capital,DEU,Munich,61,46,0,42,12.72
5482,SpaceVest Capital,unknown,unknown,1,1,0,0,0.0
5483,Sunsino Ventures Group,TWN,Taipei,1,1,0,0,0.0
5484,Atherton Venture Partners,USA,SF Bay,1,1,0,0,0.0
5485,GC Investments,POL,unknown,1,1,0,0,0.0
5486,HamiltonTech Capital Partners,USA,San Diego,1,1,0,0,0.0
5489,Octane Capital Management,USA,SF Bay,1,1,0,0,0.0
549,Ingenious Media,GBR,London,6,6,3,3,5.75
5490,Aberdeen Asset Management,USA,Philadelphia,2,1,2,0,0.83
5491,Gartmore Investment Management,USA,Boston,3,2,0,1,0.83
5492,Pearl Street Venture Funds,USA,Indianapolis,2,2,0,0,5.27
5493,Community Investment Corporation,USA,Los Angeles,1,1,0,0,0.0
5494,Katsura Investments,unknown,unknown,1,1,0,0,0.0
5497,Espí­rito Santo Ventures,PRT,Lisboa,27,24,0,11,7.89
5498,Bestport Ventures,GBR,London,2,2,0,3,3.9
55,Minor Ventures,USA,SF Bay,11,8,0,3,3.69
550,Claremont Creek Ventures,USA,SF Bay,51,28,5,14,7.77
5500,Provider Venture Partners,SWE,Stockholm,5,5,0,0,5.72
