finOrg_id,name,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,milestones,relationships,years_invested
f:4360,Health Enterprise Partners,USA,New York,New York,2010-01-31,2013-06-18,5,5,0,2,3.38
f:4361,BizCapital,USA,New Orleans,New Orleans,2009-12-02,2011-01-10,2,2,0,0,1.11
f:4362,Mandra Capital,HKG,Central,Hong Kong,2010-01-30,2010-01-30,1,1,0,0,0.0
f:4364,Arts Fund,USA,San Francisco,SF Bay,,,0,0,0,4,
f:4365,Société Régionale d'Investissement de Wallonie,BEL,LiÃ¨ge,LiÃ¨ge,2010-02-02,2013-11-21,2,2,0,2,3.8
f:4367,Goldcrest Investments,USA,Dallas,Dallas,2010-02-02,2013-09-24,5,5,0,0,3.64
f:4368,MittelstÃ¤ndische Beteiligungsgesellschaft ThÃ¼ringen,DEU,Erfurt,Erfurt,2007-05-10,2013-04-29,3,3,0,0,5.97
f:4369,S-Unternehmensbeteiligungsgesellschaft der Sparkasse Leipzig,unknown,unknown,unknown,2009-10-28,2009-10-28,1,1,0,0,0.0
f:437,Palomar Ventures,USA,Santa Monica,Los Angeles,2005-01-17,2013-07-08,46,29,0,12,8.47
f:4370,Greenlane Investments,unknown,unknown,unknown,2009-12-03,2009-12-03,1,1,0,0,0.0
f:4371,Decode Media Holdings,unknown,unknown,unknown,,,0,0,0,1,
f:4375,Killik & Co,GBR,London,London,2010-02-03,2012-12-11,2,1,0,0,2.85
f:4377,Peninsula Equity Partners,unknown,unknown,unknown,2008-01-28,2008-01-28,1,1,0,0,0.0
f:4378,Kapor Capital,USA,Oakland,SF Bay,2009-05-01,2013-10-20,42,33,1,8,4.47
f:4379,Endeavor Partners,USA,Cambridge,Boston,2006-03-01,2011-10-20,10,8,0,9,5.64
f:438,Veritas Venture Partners,ISR,Ra'anana,Raanana,2005-08-12,2011-05-24,12,6,0,5,5.78
f:4380,Purple Angel,CAN,Nepean,Nepean,2006-11-21,2009-11-03,2,2,0,0,2.95
f:4382,New York Life Capital Partners,USA,New York,New York,2007-06-03,2007-06-03,1,1,0,1,0.0
f:4383,PPM America Capital Partners,USA,Chicago,Chicago,2007-06-03,2007-09-25,2,2,0,1,0.31
f:4385,Lindsay Goldberg,USA,New York,New York,2007-07-09,2007-07-09,1,1,0,5,0.0
f:4386,Argonaut Private Equity,IND,Tulsa,Tulsa,2005-05-10,2011-05-04,10,9,0,5,5.98
f:4387,Vanenburg Group,unknown,unknown,unknown,,,0,0,0,1,
f:4388,AppFund,USA,New York,New York,2011-04-27,2011-04-27,1,1,0,4,0.0
f:4389,Accel-KKR,USA,Menlo Park,SF Bay,2006-09-07,2013-10-24,13,13,3,27,7.13
f:439,VenFin,ZAF,Stellenbosch,Stellenbosch,2005-07-01,2009-04-30,3,2,0,5,3.83
f:4390,Enhanced Equity Fund,USA,New York,New York,2006-09-27,2011-05-19,4,4,0,0,4.64
f:4391,Pangloss International,BEL,Bruxelles,Bruxelles,2010-02-04,2010-02-04,1,1,0,0,0.0
f:4393,Jivaro,USA,Sunnyvale,SF Bay,,,0,0,0,1,
f:4395,Asia Cleantech Capital Ltd,SGP,Singapore,Singapore,2008-09-01,2008-09-01,1,1,3,3,0.0
f:4396,Public Employees Retirement Association of Colorado,USA,Denver,Denver,2007-07-31,2007-07-31,1,1,0,0,0.0
f:4397,ItaÃº Securities,BRA,Sao Paulo,Sao Paulo,,,0,0,0,2,
f:4398,Allied Capital,USA,Kalamazoo,Kalamazoo,2005-12-13,2007-10-01,3,3,0,8,1.8
f:4399,SIG Private Equity Investments,unknown,unknown,unknown,2007-07-26,2007-10-17,2,2,0,0,0.23
f:44,Debaeque,ESP,Barcelona,Barcelona,2006-03-01,2009-07-13,7,7,0,2,3.37
f:4400,TIF Ventures Pte,USA,Redwood City,SF Bay,2006-07-24,2007-11-21,2,2,0,1,1.33
f:4401,Itochu Finance,JPN,Tokyo,Tokyo,2007-11-21,2007-11-21,1,1,0,0,0.0
f:4402,EuroUS Ventures,USA,San Francisco,SF Bay,2006-09-06,2007-12-11,2,1,0,0,1.26
f:4404,Visa Marketplace,unknown,unknown,unknown,2005-10-03,2007-12-11,3,2,0,0,2.19
f:4405,CSFB Private Equity,CHE,Zurich,Zurich,2005-10-01,2007-09-17,5,4,0,4,1.96
f:4406,Mint Capital,RUS,Moscow,Moscow,2007-03-14,2007-03-29,2,2,0,1,0.04
f:4407,RP Capital Group,GBR,London,London,2007-03-14,2007-03-14,1,1,0,0,0.0
f:4408,Centaurus Capital,GBR,London,London,2007-09-01,2007-09-01,1,1,0,1,0.0
f:441,Presidio STX,USA,Santa Clara,SF Bay,2005-03-22,2008-01-01,9,9,0,1,2.78
f:4410,IPO Beteiligungs-Management,AUT,Wien,Wien,2007-11-20,2007-12-12,2,2,0,0,0.06
f:4411,Global Equity Partners Beteiligungs-Management,AUT,Vienna,Vienna,2007-07-31,2007-12-12,2,2,1,0,0.37
f:4412,PONTIS Venture Partners Management,AUT,Vienna,Vienna,2006-01-26,2010-03-17,8,6,0,0,4.14
f:4413,BI New Energy,unknown,unknown,unknown,2007-10-24,2007-10-24,1,1,0,0,0.0
f:4414,Innovation Grade Capital,unknown,unknown,unknown,2010-02-08,2010-02-08,1,1,0,0,0.0
f:4415,Galleon Holdings,GBR,London,London,2010-01-08,2010-01-08,1,1,0,1,0.0
