startup_id,finOrg_id,funded_at,funding_round_type,raised_amount,is_first_round,is_last_round
62,18,2004-03-01,series-b,18800000.0,0,0
73,65,2006-02-01,series-a,6000000.0,1,1
96,7,2007-02-27,series-b,7000000.0,0,0
96,68,2007-02-27,series-b,7000000.0,0,0
96,66,2007-02-27,series-b,7000000.0,0,0
96,67,2007-02-27,series-b,7000000.0,0,0
96,68,2006-11-29,series-a,6200000.0,0,1
96,66,2006-11-29,series-a,6200000.0,0,1
96,67,2006-11-29,series-a,6200000.0,0,1
97,70,2007-04-25,series-b,9000000.0,1,0
97,69,2007-04-25,series-b,9000000.0,1,0
97,71,2007-04-25,series-b,9000000.0,1,0
97,70,2007-04-25,series-a,3500000.0,1,0
97,69,2007-04-25,series-a,3500000.0,1,0
4,1,2005-10-01,series-a,2800000.0,0,1
4,2,2005-10-01,series-a,2800000.0,0,1
4,4850,2005-10-01,series-a,2800000.0,0,1
4,3181,2005-10-01,series-a,2800000.0,0,1
25732,72,2007-05-24,series-b,6000000.0,0,1
25732,13,2007-05-24,series-b,6000000.0,0,1
25732,235,2007-05-24,series-b,6000000.0,0,1
105,73,2006-05-01,series-b,3000000.0,1,0
105,1287,2006-05-01,series-b,3000000.0,1,0
105,75,2005-04-01,series-a,500000.0,0,1
105,74,2005-04-01,series-a,500000.0,0,1
105,76,2005-04-01,series-a,500000.0,0,1
107,77,2006-02-01,series-b,6500000.0,0,0
107,79,2006-02-01,series-b,6500000.0,0,0
107,50,2006-02-01,series-b,6500000.0,0,0
107,80,2006-02-01,series-b,6500000.0,0,0
107,1557,2006-08-01,series-c+,8000000.0,0,0
106,82,2007-06-29,series-a,5350000.0,0,0
106,81,2007-06-29,series-a,5350000.0,0,0
109,29,2007-05-08,series-a,1200000.0,0,0
109,1396,2007-05-08,series-a,1200000.0,0,0
109,446,2007-05-08,series-a,1200000.0,0,0
112,30,2007-07-01,series-a,4000000.0,1,1
113,48,2006-10-01,series-c+,10000000.0,0,0
113,42,2005-10-01,series-b,5000000.0,0,0
47,84,2007-07-01,series-c+,44000000.0,0,0
121,176,2008-06-02,series-a,1000000.0,1,1
121,1166,2008-06-02,series-a,1000000.0,1,1
121,85,2008-06-02,series-a,1000000.0,1,1
126,87,2007-02-01,series-c+,15000000.0,1,0
126,86,2007-02-01,series-c+,15000000.0,1,0
126,88,2007-02-01,series-c+,15000000.0,1,0
126,73,2007-02-01,series-c+,15000000.0,1,0
126,73,2004-01-01,series-b,8000000.0,0,0
128,89,2004-10-01,series-a,1500000.0,0,1
128,90,2004-10-01,series-a,1500000.0,0,1
128,1,2005-07-01,series-b,7000000.0,0,0
128,89,2005-07-01,series-b,7000000.0,0,0
128,90,2005-07-01,series-b,7000000.0,0,0
128,1,2007-01-01,series-c+,12100000.0,1,0
128,89,2007-01-01,series-c+,12100000.0,1,0
128,93,2007-01-01,series-c+,12100000.0,1,0
128,92,2007-01-01,series-c+,12100000.0,1,0
128,91,2007-01-01,series-c+,12100000.0,1,0
128,90,2007-01-01,series-c+,12100000.0,1,0
118,29,2007-07-01,series-a,2300000.0,0,1
118,851,2007-07-01,series-a,2300000.0,0,1
132,18,2006-05-01,series-a,5000000.0,1,1
131,29,2007-01-01,series-a,1500000.0,0,0
131,94,2007-01-01,series-a,1500000.0,0,0
131,17,2007-01-01,series-a,1500000.0,0,0
131,94,2007-03-01,series-b,15000000.0,0,0
131,95,2007-03-01,series-b,15000000.0,0,0
131,17,2007-03-01,series-b,15000000.0,0,0
135,105,2006-05-01,series-a,1300000.0,0,1
134,96,2007-01-01,angel,500000.0,0,1
138,18,2006-03-01,angel,1000000.0,0,1
138,4,2006-08-01,series-a,15000000.0,1,0
138,18,2006-08-01,series-a,15000000.0,1,0
142,105,2006-05-01,series-a,15000000.0,1,1
140,101,2006-11-01,series-c+,20000000.0,0,0
140,66,2006-11-01,series-c+,20000000.0,0,0
140,61,2006-11-01,series-c+,20000000.0,0,0
140,6,2006-11-01,series-c+,20000000.0,0,0
140,101,2005-07-01,series-b,8000000.0,0,0
140,6,2005-07-01,series-b,8000000.0,0,0
139,55,2006-09-01,series-a,1000000.0,0,1
139,55,2007-04-01,series-a,1000000.0,1,0
141,24,2006-09-01,series-c+,12000000.0,0,0
141,29,2006-09-01,series-c+,12000000.0,0,0
141,97,2006-09-01,series-c+,12000000.0,0,0
153,48,2004-10-28,series-a,8000000.0,0,1
153,102,2004-10-28,series-a,8000000.0,0,1
153,100,2004-10-28,series-a,8000000.0,0,1
153,2,2004-10-28,series-a,8000000.0,0,1
153,48,2006-03-01,series-b,11000000.0,1,0
153,102,2006-03-01,series-b,11000000.0,1,0
153,100,2006-03-01,series-b,11000000.0,1,0
153,2,2006-03-01,series-b,11000000.0,1,0
153,1080,2006-03-01,series-b,11000000.0,1,0
155,26,2005-04-01,series-b,7000000.0,1,0
155,25,2005-04-01,series-b,7000000.0,1,0
155,91,2005-04-01,series-b,7000000.0,1,0
155,741,2005-04-01,series-b,7000000.0,1,0
156,109,2005-02-01,series-a,7000000.0,0,1
156,94,2005-02-01,series-a,7000000.0,0,1
156,13,2005-02-01,series-a,7000000.0,0,1
156,109,2006-10-01,series-b,4000000.0,0,0
156,94,2006-10-01,series-b,4000000.0,0,0
156,13,2006-10-01,series-b,4000000.0,0,0
156,94,2007-07-01,series-c+,15000000.0,1,0
156,13,2007-07-01,series-c+,15000000.0,1,0
156,636,2007-07-01,series-c+,15000000.0,1,0
77,13,2007-07-01,series-a,10000000.0,0,0
77,773,2007-07-01,series-a,10000000.0,0,0
157,105,2007-07-01,series-a,4800000.0,0,1
157,95,2007-07-01,series-a,4800000.0,0,1
149,107,2004-07-01,series-a,1100000.0,0,1
149,4,2005-07-01,series-b,10000000.0,0,0
149,26,2005-07-01,series-b,10000000.0,0,0
149,80,2005-07-01,series-b,10000000.0,0,0
149,4,2006-12-01,series-c+,18500000.0,0,0
149,26,2006-12-01,series-c+,18500000.0,0,0
149,80,2006-12-01,series-c+,18500000.0,0,0
149,107,2006-12-01,series-c+,18500000.0,0,0
149,262,2006-12-01,series-c+,18500000.0,0,0
162,111,2006-04-01,series-a,5000000.0,1,1
162,18,2006-04-01,series-a,5000000.0,1,1
162,110,2006-04-01,series-a,5000000.0,1,1
161,50,2004-01-01,series-b,7800000.0,0,0
161,112,2004-01-01,series-b,7800000.0,0,0
161,80,2004-01-01,series-b,7800000.0,0,0
161,113,2005-10-01,series-c+,12000000.0,0,0
161,50,2005-10-01,series-c+,12000000.0,0,0
161,112,2005-10-01,series-c+,12000000.0,0,0
161,80,2005-10-01,series-c+,12000000.0,0,0
161,1287,2005-10-01,series-c+,12000000.0,0,0
164,1635,2006-09-11,angel,350000.0,0,1
164,116,2007-02-01,venture,2100000.0,0,0
357,49,2006-05-01,series-c+,4100000.0,1,0
170,17,2004-09-01,series-a,4000000.0,0,1
170,118,2006-02-01,series-b,8000000.0,0,0
170,17,2006-02-01,series-b,8000000.0,0,0
173,17,2005-12-01,series-a,3500000.0,0,0
173,74,2005-12-01,series-a,3500000.0,0,0
173,26,2007-01-01,series-b,9000000.0,0,0
176,17,2003-11-01,series-a,4700000.0,0,1
176,1,2004-10-01,series-b,10000000.0,0,0
176,42,2007-01-29,series-c+,12800000.0,0,0
176,319,2007-01-29,series-c+,12800000.0,0,0
177,122,2007-03-01,series-a,1600000.0,1,1
179,111,2004-12-01,series-b,10000000.0,1,0
179,123,2002-12-01,series-a,6000000.0,0,1
175,124,2005-07-01,series-a,1250000.0,1,1
180,125,2007-07-01,series-c+,13500000.0,0,0
180,126,2007-07-01,series-c+,13500000.0,0,0
180,127,2007-07-01,series-c+,13500000.0,0,0
180,128,2007-07-01,series-c+,13500000.0,0,0
180,67,2007-07-01,series-c+,13500000.0,0,0
181,129,2007-02-01,series-a,10000000.0,1,1
182,130,2006-01-01,series-a,14000000.0,0,1
183,26,2006-10-01,series-a,1500000.0,0,1
187,133,2006-03-01,series-a,2500000.0,0,1
187,131,2006-03-01,series-a,2500000.0,0,1
187,132,2006-03-01,series-a,2500000.0,0,1
187,133,2006-12-01,series-a,3500000.0,0,0
187,131,2006-12-01,series-a,3500000.0,0,0
187,134,2007-05-01,series-b,15000000.0,0,0
187,133,2007-05-01,series-b,15000000.0,0,0
187,131,2007-05-01,series-b,15000000.0,0,0
180,127,2004-09-01,series-a,6600000.0,0,1
180,128,2004-09-01,series-a,6600000.0,0,1
180,126,2006-06-01,series-b,8100000.0,0,0
180,135,2006-06-01,other,1500000.0,0,0
192,148,2005-03-01,series-a,1500000.0,0,1
192,172,2005-03-01,series-a,1500000.0,0,1
192,3181,2005-03-01,series-a,1500000.0,0,1
253,1333,2000-05-01,series-a,7700000.0,0,1
253,1333,2002-05-01,series-b,5000000.0,0,0
253,169,2005-01-01,series-c+,10000000.0,0,0
253,169,2003-03-01,series-c+,15500000.0,0,0
190,367,2007-07-01,series-a,5000000.0,1,0
190,235,2007-07-01,series-a,5000000.0,1,0
191,137,2006-01-01,series-a,10000000.0,0,1
191,135,2006-01-01,series-a,10000000.0,0,1
191,18,2006-01-01,series-a,10000000.0,0,1
191,139,2006-10-01,series-b,40000000.0,0,0
191,137,2006-10-01,series-b,40000000.0,0,0
191,140,2006-10-01,series-b,40000000.0,0,0
191,18,2006-10-01,series-b,40000000.0,0,0
191,129,2006-10-01,series-b,40000000.0,0,0
194,74,2006-06-01,series-a,325000.0,0,1
195,141,2007-07-01,series-c+,12000000.0,0,0
195,26,2007-07-01,series-c+,12000000.0,0,0
195,89,2007-07-01,series-c+,12000000.0,0,0
195,136,2007-07-01,series-c+,12000000.0,0,0
195,771,2007-07-01,series-c+,12000000.0,0,0
197,109,2005-01-01,series-a,6200000.0,1,1
197,1,2005-01-01,series-a,6200000.0,1,1
195,141,2006-05-01,series-b,8000000.0,0,0
195,89,2006-05-01,series-b,8000000.0,0,0
195,136,2006-05-01,series-b,8000000.0,0,0
195,771,2006-05-01,series-b,8000000.0,0,0
195,89,2005-09-01,series-a,770000.0,0,1
199,3276,2006-12-01,series-a,5600000.0,1,1
199,1212,2006-12-01,series-a,5600000.0,1,1
203,130,2006-11-07,series-a,7000000.0,0,0
203,144,2006-11-07,series-a,7000000.0,0,0
203,145,2006-11-07,series-a,7000000.0,0,0
208,1,2006-05-01,series-a,5000000.0,0,1
208,13,2006-05-01,series-a,5000000.0,0,1
208,146,2007-07-01,series-b,11000000.0,0,0
206,149,2006-09-01,series-b,7500000.0,0,0
206,26,2006-09-01,series-b,7500000.0,0,0
206,2,2006-09-01,series-b,7500000.0,0,0
206,26,2005-03-01,series-a,2100000.0,0,1
206,2,2005-03-01,series-a,2100000.0,0,1
158,41,2005-07-01,series-a,16000000.0,0,1
158,114,2005-07-01,series-a,16000000.0,0,1
210,23,2006-03-01,series-b,13500000.0,0,0
211,26,2005-01-01,series-a,8000000.0,0,1
211,1047,2005-01-01,series-a,8000000.0,0,1
211,242,2005-01-01,series-a,8000000.0,0,1
211,379,2005-01-01,series-a,8000000.0,0,1
211,26,2006-12-01,series-b,18000000.0,0,0
211,6,2006-12-01,series-b,18000000.0,0,0
211,1047,2006-12-01,series-b,18000000.0,0,0
211,242,2006-12-01,series-b,18000000.0,0,0
211,379,2006-12-01,series-b,18000000.0,0,0
211,3181,2006-12-01,series-b,18000000.0,0,0
220,94,2007-02-01,series-a,2000000.0,0,0
220,3181,2007-02-01,series-a,2000000.0,0,0
219,152,2005-08-01,angel,950000.0,0,1
229,154,2007-07-01,series-b,5000000.0,1,0
229,123,2007-07-01,series-b,5000000.0,1,0
229,18,2007-07-01,series-b,5000000.0,1,0
163,264,2000-03-01,series-a,1200000.0,0,1
163,265,2000-03-01,series-a,1200000.0,0,1
163,266,2000-03-01,series-a,1200000.0,0,1
163,264,2001-05-01,series-a,300000.0,0,0
163,265,2001-05-01,series-a,300000.0,0,0
163,266,2001-05-01,series-a,300000.0,0,0
234,2,2004-01-01,angel,300000.0,0,1
234,26,2005-04-01,series-b,3100000.0,0,0
234,155,2005-04-01,series-b,3100000.0,0,0
237,158,2007-02-01,series-a,4000000.0,0,1
235,12,2006-05-01,series-a,4000000.0,0,1
235,29,2006-05-01,series-a,4000000.0,0,1
235,268,2006-05-01,series-a,4000000.0,0,1
239,134,2005-12-01,series-a,6250000.0,0,1
239,242,2005-12-01,series-a,6250000.0,0,1
243,116,2007-07-01,series-a,20000000.0,0,1
245,61,2005-12-01,series-a,7000000.0,0,0
246,165,2007-05-01,series-a,7000000.0,0,0
246,29,2007-05-01,series-a,7000000.0,0,0
246,507,2007-05-01,series-a,7000000.0,0,0
126,166,1999-12-01,series-a,2200000.0,0,1
126,166,2000-10-01,series-a,6800000.0,0,0
249,139,2005-08-01,series-a,5000000.0,1,1
249,45,2005-08-01,series-a,5000000.0,1,1
253,169,2007-07-01,series-c+,20000000.0,1,0
253,1996,2007-07-01,series-c+,20000000.0,1,0
253,1997,2007-07-01,series-c+,20000000.0,1,0
266,174,2006-03-01,series-a,5100000.0,0,1
266,80,2006-03-01,series-a,5100000.0,0,1
266,116,2007-01-01,series-b,10000000.0,0,0
270,175,2007-06-01,angel,250000.0,0,1
270,176,2007-07-01,series-a,1500000.0,1,0
270,175,2007-07-01,series-a,1500000.0,1,0
271,177,2007-07-01,series-a,6000000.0,0,1
264,123,2007-07-01,series-a,5000000.0,1,1
264,507,2007-07-01,series-a,5000000.0,1,1
277,178,2006-10-26,series-a,5000000.0,0,1
280,48,2007-06-01,series-a,2300000.0,0,0
251,26,2007-07-01,series-a,1500000.0,0,1
251,61,2007-07-01,series-a,1500000.0,0,1
251,242,2007-07-01,series-a,1500000.0,0,1
282,179,2006-12-01,series-a,4000000.0,0,0
282,180,2006-12-01,series-a,4000000.0,0,0
281,187,2005-01-01,series-a,5000000.0,1,1
281,188,2005-01-01,series-a,5000000.0,1,1
281,186,2005-01-01,series-a,5000000.0,1,1
357,208,2004-12-01,series-a,440000.0,0,1
196,183,2006-03-01,series-b,17000000.0,1,1
196,41,2006-03-01,series-b,17000000.0,1,1
196,134,2006-03-01,series-b,17000000.0,1,1
196,183,2006-03-01,series-a,7700000.0,1,1
196,41,2006-03-01,series-a,7700000.0,1,1
196,134,2006-03-01,series-a,7700000.0,1,1
289,184,2006-12-01,series-b,12000000.0,0,0
289,375,2006-12-01,series-b,12000000.0,0,0
289,13,2006-12-01,series-b,12000000.0,0,0
287,189,2005-09-01,series-a,43000000.0,1,1
287,18,2005-09-01,series-a,43000000.0,1,1
301,190,2006-05-01,angel,1400000.0,0,0
300,192,2006-03-01,series-a,5500000.0,0,1
300,191,2006-03-01,series-a,5500000.0,0,1
300,192,2007-06-01,series-a,2000000.0,1,0
300,191,2007-06-01,series-a,2000000.0,1,0
303,262,2005-12-01,series-a,1750000.0,1,1
303,1132,2005-12-01,series-a,1750000.0,1,1
12,7,2007-07-01,series-a,5000000.0,0,1
12,45,2007-07-01,series-a,5000000.0,0,1
12,3181,2007-07-01,series-a,5000000.0,0,1
301,190,2007-07-01,series-a,10600000.0,1,0
301,1262,2007-07-01,series-a,10600000.0,1,0
301,69,2007-07-01,series-a,10600000.0,1,0
316,42,2006-03-01,series-a,4000000.0,0,0
316,29,2006-03-01,series-a,4000000.0,0,0
316,2,2006-03-01,series-a,4000000.0,0,0
316,4379,2006-03-01,series-a,4000000.0,0,0
316,3181,2006-03-01,series-a,4000000.0,0,0
315,48,2006-09-01,series-a,20000000.0,1,1
315,18,2006-09-01,series-a,20000000.0,1,1
315,105,2006-09-01,series-a,20000000.0,1,1
319,200,2007-07-01,series-a,2800000.0,0,0
319,7,2007-05-01,angel,250000.0,0,1
320,204,2006-12-01,series-a,3200000.0,0,0
320,86,2006-12-01,series-a,3200000.0,0,0
320,204,2006-02-01,angel,700000.0,0,1
330,205,2007-07-01,series-c+,29000000.0,0,0
330,206,2007-07-01,series-c+,29000000.0,0,0
330,13,2007-07-01,series-c+,29000000.0,0,0
330,207,2007-07-01,series-c+,29000000.0,0,0
330,1216,2007-07-01,series-c+,29000000.0,0,0
326,11,2007-04-24,series-b,10000000.0,0,0
326,147,2007-04-24,series-b,10000000.0,0,0
326,204,2007-04-24,series-b,10000000.0,0,0
326,109,2007-04-24,series-b,10000000.0,0,0
327,210,2007-06-01,series-a,10000000.0,0,0
327,30,2007-06-01,series-a,10000000.0,0,0
302,213,2004-10-01,series-a,3200000.0,0,1
302,212,2004-10-01,series-a,3200000.0,0,1
302,89,2004-10-01,series-a,3200000.0,0,1
302,213,2005-10-01,series-b,7000000.0,0,0
302,212,2005-10-01,series-b,7000000.0,0,0
302,89,2005-10-01,series-b,7000000.0,0,0
302,3,2005-10-01,series-b,7000000.0,0,0
302,139,2007-07-01,series-c+,10300000.0,0,0
302,213,2007-07-01,series-c+,10300000.0,0,0
302,211,2007-07-01,series-c+,10300000.0,0,0
302,212,2007-07-01,series-c+,10300000.0,0,0
302,89,2007-07-01,series-c+,10300000.0,0,0
302,155,2007-07-01,series-c+,10300000.0,0,0
302,3,2007-07-01,series-c+,10300000.0,0,0
333,1276,2001-02-16,series-c+,90000000.0,1,0
333,2837,2001-02-16,series-c+,90000000.0,1,0
333,6689,2001-02-16,series-c+,90000000.0,1,0
333,2223,2001-02-16,series-c+,90000000.0,1,0
334,134,2006-10-01,series-a,5500000.0,1,1
335,48,2005-06-01,series-a,21000000.0,0,1
335,1,2005-06-01,series-a,21000000.0,0,1
336,214,2006-01-01,series-a,5400000.0,0,1
336,3181,2006-01-01,series-a,5400000.0,0,1
336,215,2007-07-01,series-b,10000000.0,0,0
325,4,2005-03-01,series-a,5500000.0,0,1
325,507,2005-03-01,series-a,5500000.0,0,1
325,1287,2005-11-01,series-b,16200000.0,0,0
344,216,2007-06-01,series-c+,9000000.0,1,0
344,131,2007-06-01,series-c+,9000000.0,1,0
344,218,2007-06-01,series-c+,9000000.0,1,0
344,219,2007-06-01,series-c+,9000000.0,1,0
344,220,2007-06-01,series-c+,9000000.0,1,0
344,217,2007-06-01,series-c+,9000000.0,1,0
344,221,2007-06-01,series-c+,9000000.0,1,0
344,222,2007-06-01,series-c+,9000000.0,1,0
325,205,2007-01-01,series-c+,59500000.0,0,0
325,224,2007-01-01,series-c+,59500000.0,0,0
325,225,2007-01-01,series-c+,59500000.0,0,0
325,235,2007-01-01,series-c+,59500000.0,0,0
325,4,2007-01-01,series-c+,59500000.0,0,0
325,139,2007-01-01,series-c+,59500000.0,0,0
325,3800,2007-01-01,series-c+,59500000.0,0,0
325,507,2007-01-01,series-c+,59500000.0,0,0
325,1287,2007-01-01,series-c+,59500000.0,0,0
325,223,2006-09-01,series-b,5000000.0,0,0
353,226,2004-07-01,series-a,2500000.0,0,1
353,62,2004-07-01,series-a,2500000.0,0,1
353,25,2005-11-01,series-b,8000000.0,1,0
354,61,1999-11-01,series-a,7500000.0,0,1
354,236,2000-05-01,series-b,36000000.0,1,0
354,237,2000-05-01,series-b,36000000.0,1,0
354,61,2000-05-01,series-b,36000000.0,1,0
354,235,2000-05-01,series-b,36000000.0,1,0
348,17,2006-03-01,series-a,8500000.0,1,1
348,214,2006-03-01,series-a,8500000.0,1,1
348,231,2006-03-01,series-a,8500000.0,1,1
371,234,2007-02-01,series-a,4500000.0,0,1
361,1635,2006-02-01,angel,1000000.0,0,1
381,233,2006-07-01,series-a,8200000.0,1,1
383,48,2006-06-01,series-a,8930000.0,0,1
383,13,2006-06-01,series-a,8930000.0,0,1
383,48,2007-03-01,series-b,12000000.0,0,0
383,13,2007-03-01,series-b,12000000.0,0,0
383,262,2007-03-01,series-b,12000000.0,0,0
386,234,2007-06-01,series-a,3500000.0,1,0
385,18,2007-08-01,series-c+,30000000.0,0,0
385,18,2006-08-01,series-b,20000000.0,0,0
385,3181,2006-08-01,series-b,20000000.0,0,0
365,10,2007-12-19,series-a,18000000.0,0,0
365,230,2007-12-19,series-a,18000000.0,0,0
365,588,2007-12-19,series-a,18000000.0,0,0
365,367,2007-12-19,series-a,18000000.0,0,0
365,319,2007-12-19,series-a,18000000.0,0,0
192,172,2006-03-01,series-b,2000000.0,0,0
192,172,2007-03-01,series-c+,1500000.0,1,0
390,238,2007-08-01,series-a,1200000.0,0,1
391,7,2007-08-01,series-a,36600000.0,0,1
391,239,2007-08-01,series-a,36600000.0,0,1
391,240,2007-08-01,series-a,36600000.0,0,1
36,17,2006-01-01,series-a,5000000.0,0,1
36,17,2007-01-01,series-b,16000000.0,1,0
36,2854,2007-01-01,series-b,16000000.0,1,0
398,241,2006-11-01,series-a,5100000.0,1,1
402,42,2005-11-01,series-a,4000000.0,0,1
402,26,2005-11-01,series-a,4000000.0,0,1
402,242,2005-11-01,series-a,4000000.0,0,1
402,42,2006-04-01,series-b,8700000.0,1,0
402,26,2006-04-01,series-b,8700000.0,1,0
402,242,2006-04-01,series-b,8700000.0,1,0
40,37,2005-07-01,series-a,2250000.0,0,1
404,4,2006-07-01,series-b,15000000.0,0,1
404,48,2006-07-01,series-b,15000000.0,0,1
95,243,2007-08-01,series-b,7000000.0,0,0
95,99,2007-08-01,series-b,7000000.0,0,0
95,439,2007-08-01,series-b,7000000.0,0,0
95,438,2007-08-01,series-b,7000000.0,0,0
407,244,2007-08-01,series-a,2000000.0,1,1
129,111,2006-08-01,series-a,9500000.0,0,1
129,95,2006-08-01,series-a,9500000.0,0,1
450,443,2005-09-01,series-a,8750000.0,0,1
410,42,2005-11-01,series-b,3300000.0,0,0
